dataset_accession,sample_id,patient_or_donor_id,biological_source,disease_status,tissue_site,timepoint,assay,platform,analysis_role,n_cells_or_spots_analyzed,count_unit,primary_input,processed_object,principal_script,source_url,notes
GSE253355,GSM8019212_H14_MACS,H14_MACS,Hematologically healthy human bone marrow,Normal reference,Femoral head bone marrow,Reference,10x Genomics Single Cell 3' v3.1 scRNA-seq,Illumina NovaSeq 6000,Normal bone marrow ecological reference and ecological program scoring,7073,cells retained after conservative QC,GSM8019212_H14_MACS raw 10x matrix bundle,GSE253355_normal_BM_reference_filtered.h5ad,process_GSE253355_raw.py; conservative_qc_filter.py; score_GSE253355_normal_BM_ecology.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253355,"Included among 12 normal bone marrow samples; total retained cells across the dataset = 100,887."
GSE253355,GSM8019213_H21,H21,Hematologically healthy human bone marrow,Normal reference,Femoral head bone marrow,Reference,10x Genomics Single Cell 3' v3.1 scRNA-seq,Illumina NovaSeq 6000,Normal bone marrow ecological reference and ecological program scoring,8319,cells retained after conservative QC,GSM8019213_H21 raw 10x matrix bundle,GSE253355_normal_BM_reference_filtered.h5ad,process_GSE253355_raw.py; conservative_qc_filter.py; score_GSE253355_normal_BM_ecology.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253355,"Included among 12 normal bone marrow samples; total retained cells across the dataset = 100,887."
GSE253355,GSM8019214_H23,H23,Hematologically healthy human bone marrow,Normal reference,Femoral head bone marrow,Reference,10x Genomics Single Cell 3' v3.1 scRNA-seq,Illumina NovaSeq 6000,Normal bone marrow ecological reference and ecological program scoring,11934,cells retained after conservative QC,GSM8019214_H23 raw 10x matrix bundle,GSE253355_normal_BM_reference_filtered.h5ad,process_GSE253355_raw.py; conservative_qc_filter.py; score_GSE253355_normal_BM_ecology.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253355,"Included among 12 normal bone marrow samples; total retained cells across the dataset = 100,887."
GSE253355,GSM8019215_H24,H24,Hematologically healthy human bone marrow,Normal reference,Femoral head bone marrow,Reference,10x Genomics Single Cell 3' v3.1 scRNA-seq,Illumina NovaSeq 6000,Normal bone marrow ecological reference and ecological program scoring,8992,cells retained after conservative QC,GSM8019215_H24 raw 10x matrix bundle,GSE253355_normal_BM_reference_filtered.h5ad,process_GSE253355_raw.py; conservative_qc_filter.py; score_GSE253355_normal_BM_ecology.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253355,"Included among 12 normal bone marrow samples; total retained cells across the dataset = 100,887."
GSE253355,GSM8019216_H32,H32,Hematologically healthy human bone marrow,Normal reference,Femoral head bone marrow,Reference,10x Genomics Single Cell 3' v3.1 scRNA-seq,Illumina NovaSeq 6000,Normal bone marrow ecological reference and ecological program scoring,4590,cells retained after conservative QC,GSM8019216_H32 raw 10x matrix bundle,GSE253355_normal_BM_reference_filtered.h5ad,process_GSE253355_raw.py; conservative_qc_filter.py; score_GSE253355_normal_BM_ecology.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253355,"Included among 12 normal bone marrow samples; total retained cells across the dataset = 100,887."
GSE253355,GSM8019217_H33,H33,Hematologically healthy human bone marrow,Normal reference,Femoral head bone marrow,Reference,10x Genomics Single Cell 3' v3.1 scRNA-seq,Illumina NovaSeq 6000,Normal bone marrow ecological reference and ecological program scoring,8022,cells retained after conservative QC,GSM8019217_H33 raw 10x matrix bundle,GSE253355_normal_BM_reference_filtered.h5ad,process_GSE253355_raw.py; conservative_qc_filter.py; score_GSE253355_normal_BM_ecology.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253355,"Included among 12 normal bone marrow samples; total retained cells across the dataset = 100,887."
GSE253355,GSM8019218_H34,H34,Hematologically healthy human bone marrow,Normal reference,Femoral head bone marrow,Reference,10x Genomics Single Cell 3' v3.1 scRNA-seq,Illumina NovaSeq 6000,Normal bone marrow ecological reference and ecological program scoring,6810,cells retained after conservative QC,GSM8019218_H34 raw 10x matrix bundle,GSE253355_normal_BM_reference_filtered.h5ad,process_GSE253355_raw.py; conservative_qc_filter.py; score_GSE253355_normal_BM_ecology.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253355,"Included among 12 normal bone marrow samples; total retained cells across the dataset = 100,887."
GSE253355,GSM8019219_H35,H35,Hematologically healthy human bone marrow,Normal reference,Femoral head bone marrow,Reference,10x Genomics Single Cell 3' v3.1 scRNA-seq,Illumina NovaSeq 6000,Normal bone marrow ecological reference and ecological program scoring,7894,cells retained after conservative QC,GSM8019219_H35 raw 10x matrix bundle,GSE253355_normal_BM_reference_filtered.h5ad,process_GSE253355_raw.py; conservative_qc_filter.py; score_GSE253355_normal_BM_ecology.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253355,"Included among 12 normal bone marrow samples; total retained cells across the dataset = 100,887."
GSE253355,GSM8019220_H36,H36,Hematologically healthy human bone marrow,Normal reference,Femoral head bone marrow,Reference,10x Genomics Single Cell 3' v3.1 scRNA-seq,Illumina NovaSeq 6000,Normal bone marrow ecological reference and ecological program scoring,10348,cells retained after conservative QC,GSM8019220_H36 raw 10x matrix bundle,GSE253355_normal_BM_reference_filtered.h5ad,process_GSE253355_raw.py; conservative_qc_filter.py; score_GSE253355_normal_BM_ecology.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253355,"Included among 12 normal bone marrow samples; total retained cells across the dataset = 100,887."
GSE253355,GSM8019221_H38,H38,Hematologically healthy human bone marrow,Normal reference,Femoral head bone marrow,Reference,10x Genomics Single Cell 3' v3.1 scRNA-seq,Illumina NovaSeq 6000,Normal bone marrow ecological reference and ecological program scoring,8130,cells retained after conservative QC,GSM8019221_H38 raw 10x matrix bundle,GSE253355_normal_BM_reference_filtered.h5ad,process_GSE253355_raw.py; conservative_qc_filter.py; score_GSE253355_normal_BM_ecology.py,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253355,"Included among 12 normal bone marrow samples; total retained cells across the dataset = 100,887."
